Date,Day,Month,Year,State,District,Pincode,Age 5 To 17 ,Age Above 17
1/3/2025,Friday,January,2025,Telangana,Siddipet,502276,15,52
1/3/2025,Friday,January,2025,Telangana,Khammam,507159,23,201
1/3/2025,Friday,January,2025,Telangana,Mulugu,506352,16,202
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500097,133,671
1/3/2025,Friday,January,2025,Telangana,Bhadradri Kothagudem,507120,26,246
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509350,35,70
1/3/2025,Friday,January,2025,Telangana,Jagitial,505454,24,129
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503122,27,167
1/3/2025,Friday,January,2025,Telangana,Warangal,506331,27,114
1/3/2025,Friday,January,2025,Telangana,Siddipet,502247,24,98
1/3/2025,Friday,January,2025,Telangana,Siddipet,506355,23,67
1/3/2025,Friday,January,2025,Telangana,Yadadri,508113,34,467
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500068,38,322
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505208,14,57
1/3/2025,Friday,January,2025,Telangana,Kamareddy,503301,10,73
1/3/2025,Friday,January,2025,Telangana,Adilabad,504102,40,132
1/3/2025,Friday,January,2025,Telangana,Adilabad,504251,14,76
1/3/2025,Friday,January,2025,Telangana,Siddipet,502103,140,410
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503246,60,213
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509130,54,122
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503123,14,44
1/3/2025,Friday,January,2025,Telangana,Adilabad,504206,11,30
1/3/2025,Friday,January,2025,Telangana,Medak,502335,36,71
1/3/2025,Friday,January,2025,Telangana,Vikarabad,501143,59,199
1/4/2025,Saturday,January,2025,Telangana,K.v. Rangareddy,500049,165,1027
1/4/2025,Saturday,January,2025,Telangana,Suryapet,508213,95,811
1/4/2025,Saturday,January,2025,Telangana,Hyderabad,500064,139,986
1/4/2025,Saturday,January,2025,Telangana,Sangareddy,502319,115,581
1/4/2025,Saturday,January,2025,Telangana,Hyderabad,500006,169,1001
1/4/2025,Saturday,January,2025,Telangana,Nizamabad,503001,244,1293
1/5/2025,Sunday,January,2025,Telangana,Hyderabad,500045,125,557
1/5/2025,Sunday,January,2025,Telangana,Kamareddy,503111,87,486
1/5/2025,Sunday,January,2025,Telangana,Hyderabad,500064,149,874
1/5/2025,Sunday,January,2025,Telangana,Hyderabad,500018,108,743
1/5/2025,Sunday,January,2025,Telangana,Hyderabad,500005,192,1057
1/5/2025,Sunday,January,2025,Telangana,Mahabubnagar,509001,280,1384
1/6/2025,Monday,January,2025,Telangana,K.v. Rangareddy,500070,164,909
1/6/2025,Monday,January,2025,Telangana,Hyderabad,500005,331,1412
1/6/2025,Monday,January,2025,Telangana,Kamareddy,503111,89,585
1/6/2025,Monday,January,2025,Telangana,Sangareddy,502319,173,729
1/6/2025,Monday,January,2025,Telangana,Medchal-malkajgiri,500055,410,1644
1/6/2025,Monday,January,2025,Telangana,Sangareddy,502032,304,1643
1/6/2025,Monday,January,2025,Telangana,Jagitial,505327,43,352
1/6/2025,Monday,January,2025,Telangana,Medchal-malkajgiri,500090,306,1667
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500005,201,1134
1/3/2025,Friday,January,2025,Telangana,Warangal,506355,15,90
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508245,30,402
1/3/2025,Friday,January,2025,Telangana,Warangal,506169,28,73
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505467,80,237
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505527,17,61
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,501502,41,161
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500060,78,412
1/3/2025,Friday,January,2025,Telangana,Khammam,507161,31,349
1/3/2025,Friday,January,2025,Telangana,Jogulamba Gadwal,509125,533,987
1/3/2025,Friday,January,2025,Telangana,Medak,502319,43,119
1/3/2025,Friday,January,2025,Telangana,Nagarkurnool,509209,68,251
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,501202,44,252
1/3/2025,Friday,January,2025,Telangana,Narayanpet,509351,64,246
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505101,10,42
1/3/2025,Friday,January,2025,Telangana,Kamareddy,503306,10,68
1/3/2025,Friday,January,2025,Telangana,Adilabad,504299,23,182
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509120,63,48
1/3/2025,Friday,January,2025,Telangana,Medak,502321,21,95
1/3/2025,Friday,January,2025,Telangana,Yadadri,508286,10,228
1/3/2025,Friday,January,2025,Telangana,Warangal,506104,36,141
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508212,26,94
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500058,33,216
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508252,37,74
1/3/2025,Friday,January,2025,Telangana,Jangoan,506143,21,177
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505307,12,86
1/3/2025,Friday,January,2025,Telangana,Warangal,506143,18,29
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,509228,117,526
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509125,320,449
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500087,41,91
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500037,219,763
1/3/2025,Friday,January,2025,Telangana,Khammam,507169,21,299
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500032,66,497
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508221,32,80
1/3/2025,Friday,January,2025,Telangana,Warangal,506005,15,35
1/3/2025,Friday,January,2025,Telangana,Mulugu,507133,17,77
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508112,27,42
1/3/2025,Friday,January,2025,Telangana,Hanumakonda,506371,20,134
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500003,162,737
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500050,86,480
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500077,89,388
1/3/2025,Friday,January,2025,Telangana,Mulugu,506343,22,218
1/3/2025,Friday,January,2025,Telangana,Adilabad,504101,20,50
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,501101,100,487
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509153,69,64
1/3/2025,Friday,January,2025,Telangana,Medak,502221,38,198
1/3/2025,Friday,January,2025,Telangana,Bhadradri Kothagudem,507115,104,883
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,501141,69,230
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509321,52,125
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500061,137,509
1/3/2025,Friday,January,2025,Telangana,Mancherial,504216,15,149
1/3/2025,Friday,January,2025,Telangana,Kamareddy,503101,54,142
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500006,300,1223
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505303,27,64
1/3/2025,Friday,January,2025,Telangana,Vikarabad,501158,25,74
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503180,55,100
1/3/2025,Friday,January,2025,Telangana,Nagarkurnool,509349,19,166
1/3/2025,Friday,January,2025,Telangana,Nagarkurnool,509406,19,58
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503308,25,217
1/3/2025,Friday,January,2025,Telangana,Warangal,506368,31,198
1/3/2025,Friday,January,2025,Telangana,Bhadradri Kothagudem,507125,12,87
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508207,322,1642
1/3/2025,Friday,January,2025,Telangana,Kamareddy,503124,17,78
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505187,23,130
1/3/2025,Friday,January,2025,Telangana,Hanumakonda,506015,29,208
1/3/2025,Friday,January,2025,Telangana,Nirmal,504102,44,154
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509207,30,70
1/3/2025,Friday,January,2025,Telangana,Warangal,506151,11,15
1/3/2025,Friday,January,2025,Telangana,Mulugu,506349,10,74
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503310,34,166
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509105,47,121
1/3/2025,Friday,January,2025,Telangana,Jagitial,505450,21,125
1/3/2025,Friday,January,2025,Telangana,Mulugu,506347,41,418
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508285,23,28
1/3/2025,Friday,January,2025,Telangana,Khammam,507170,26,254
1/3/2025,Friday,January,2025,Telangana,Komaram Bheem,504273,17,234
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509209,114,279
1/3/2025,Friday,January,2025,Telangana,Peddapalli,505184,31,220
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505453,15,51
1/3/2025,Friday,January,2025,Telangana,Nagarkurnool,509401,49,146
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500055,492,1809
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500016,76,356
1/3/2025,Friday,January,2025,Telangana,Sangareddy,502257,20,51
1/3/2025,Friday,January,2025,Telangana,Medak,502301,21,71
1/3/2025,Friday,January,2025,Telangana,Wanaparthy,509131,45,229
1/3/2025,Friday,January,2025,Telangana,Nizamabad,503003,67,256
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500055,17,76
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508223,20,27
1/3/2025,Friday,January,2025,Telangana,Mancherial,504207,19,192
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509102,108,326
1/3/2025,Friday,January,2025,Telangana,Narayanpet,509208,79,454
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505305,68,150
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505530,56,163
1/3/2025,Friday,January,2025,Telangana,Sangareddy,502287,38,69
1/3/2025,Friday,January,2025,Telangana,Medak,502375,32,51
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509320,42,168
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500072,45,158
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500010,66,248
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500055,29,87
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500050,11,76
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,509202,13,117
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509411,72,97
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500073,20,192
1/3/2025,Friday,January,2025,Telangana,Mahabubabad,506381,40,305
1/3/2025,Friday,January,2025,Telangana,Mahabubnagar,509349,47,178
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,501508,83,242
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,509327,61,354
1/3/2025,Friday,January,2025,Telangana,Vikarabad,501144,38,98
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508114,59,461
1/3/2025,Friday,January,2025,Telangana,Medak,502249,25,191
1/3/2025,Friday,January,2025,Telangana,Warangal Rural,506314,22,160
1/3/2025,Friday,January,2025,Telangana,Khammam,507114,49,223
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505404,55,86
1/3/2025,Friday,January,2025,Telangana,Warangal,506367,12,109
1/3/2025,Friday,January,2025,Telangana,Siddipet,502334,14,53
1/3/2025,Friday,January,2025,Telangana,Medak,502300,17,59
1/3/2025,Friday,January,2025,Telangana,Sangareddy,502001,65,335
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508101,21,67
1/3/2025,Friday,January,2025,Telangana,Jayashankar Bhupalpally,506169,38,466
1/3/2025,Friday,January,2025,Telangana,Warangal Urban,506005,36,192
1/3/2025,Friday,January,2025,Telangana,Jayashankar Bhupalpally,505503,71,851
1/3/2025,Friday,January,2025,Telangana,Jayashankar Bhupalpally,506168,38,307
1/3/2025,Friday,January,2025,Telangana,Yadadri,508285,13,446
1/3/2025,Friday,January,2025,Telangana,Warangal,506222,30,94
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500014,35,212
1/3/2025,Friday,January,2025,Telangana,Komaram Bheem,504299,68,688
1/3/2025,Friday,January,2025,Telangana,Komaram Bheem,504313,50,412
1/6/2025,Monday,January,2025,Telangana,Hyderabad,500001,128,610
1/6/2025,Monday,January,2025,Telangana,Hyderabad,500020,130,700
1/7/2025,Tuesday,January,2025,Telangana,Hyderabad,500064,170,1766
1/7/2025,Tuesday,January,2025,Telangana,Mahabubabad,506101,71,764
1/7/2025,Tuesday,January,2025,Telangana,Jogulamba Gadwal,509125,369,1914
1/7/2025,Tuesday,January,2025,Telangana,Nizamabad,503224,99,869
1/7/2025,Tuesday,January,2025,Telangana,Karimnagar,505001,262,1934
1/7/2025,Tuesday,January,2025,Telangana,Hyderabad,500058,39,364
1/7/2025,Tuesday,January,2025,Telangana,Hyderabad,500005,306,1889
1/7/2025,Tuesday,January,2025,Telangana,Warangal Urban,506002,176,1481
1/7/2025,Tuesday,January,2025,Telangana,Sangareddy,502032,368,1994
1/7/2025,Tuesday,January,2025,Telangana,Vikarabad,501141,571,2746
1/7/2025,Tuesday,January,2025,Telangana,Adilabad,504001,212,1521
1/7/2025,Tuesday,January,2025,Telangana,Hyderabad,500018,188,1223
1/7/2025,Tuesday,January,2025,Telangana,K.v. Rangareddy,500019,155,835
1/7/2025,Tuesday,January,2025,Telangana,Vikarabad,501158,35,247
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504101,0,3
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504104,1,1
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504109,0,3
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504110,1,6
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504202,0,5
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504208,0,6
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504209,1,0
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504214,0,5
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504216,0,1
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504306,0,3
2/9/2025,Sunday,February,2025,Telangana,Adilabad,504308,1,19
2/9/2025,Sunday,February,2025,Telangana,Bhadradri Kothagudem,507101,6,54
2/9/2025,Sunday,February,2025,Telangana,Bhadradri Kothagudem,507133,1,20
2/9/2025,Sunday,February,2025,Telangana,Hanumakonda,505101,0,2
2/9/2025,Sunday,February,2025,Telangana,Hanumakonda,506143,0,3
2/9/2025,Sunday,February,2025,Telangana,Hanumakonda,506310,0,13
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500003,3,41
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500005,5,73
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500024,3,13
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500027,1,11
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500031,0,2
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500040,0,9
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500056,0,2
2/9/2025,Sunday,February,2025,Telangana,Hyderabad,500058,1,3
2/9/2025,Sunday,February,2025,Telangana,Jagitial,505453,1,8
2/9/2025,Sunday,February,2025,Telangana,Jagitial,505462,0,5
2/9/2025,Sunday,February,2025,Telangana,Jagitial,505529,2,10
2/9/2025,Sunday,February,2025,Telangana,Jagitial,505532,2,7
2/9/2025,Sunday,February,2025,Telangana,Jangoan,506143,1,37
2/9/2025,Sunday,February,2025,Telangana,Jangoan,506144,0,16
2/9/2025,Sunday,February,2025,Telangana,Jangoan,506367,0,9
2/9/2025,Sunday,February,2025,Telangana,Jogulamba Gadwal,509135,0,10
2/9/2025,Sunday,February,2025,Telangana,Jogulamba Gadwal,509152,0,24
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500008,0,1
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500014,0,3
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500046,0,3
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500049,9,45
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500058,3,18
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500060,1,20
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500074,4,15
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500075,0,23
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500078,2,21
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,500089,3,31
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501101,2,20
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501144,0,15
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501158,0,4
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501218,3,29
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501503,5,12
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501504,4,19
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501505,6,19
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,501510,5,36
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,509202,1,19
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,509228,8,49
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,509325,9,87
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,509335,5,7
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,509339,2,2
2/9/2025,Sunday,February,2025,Telangana,K.v. Rangareddy,509358,1,16
2/9/2025,Sunday,February,2025,Telangana,Kamareddy,503111,5,50
2/9/2025,Sunday,February,2025,Telangana,Kamareddy,503120,2,7
2/9/2025,Sunday,February,2025,Telangana,Kamareddy,503306,3,8
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505102,1,2
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505162,1,3
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505185,0,4
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505187,2,14
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505303,1,4
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505331,0,9
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505401,1,10
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505404,0,6
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505453,0,2
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505460,0,12
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505469,0,22
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505471,0,9
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505475,1,21
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,505528,0,1
2/9/2025,Sunday,February,2025,Telangana,Karimnagar,506168,0,2
2/9/2025,Sunday,February,2025,Telangana,Khammam,507003,5,28
2/9/2025,Sunday,February,2025,Telangana,Khammam,507111,0,3
2/9/2025,Sunday,February,2025,Telangana,Khammam,507115,0,6
2/9/2025,Sunday,February,2025,Telangana,Khammam,507117,0,1
2/9/2025,Sunday,February,2025,Telangana,Khammam,507123,0,2
2/9/2025,Sunday,February,2025,Telangana,Khammam,507158,2,28
2/9/2025,Sunday,February,2025,Telangana,Khammam,507160,5,15
2/9/2025,Sunday,February,2025,Telangana,Khammam,507167,2,34
2/9/2025,Sunday,February,2025,Telangana,Khammam,507169,2,11
2/9/2025,Sunday,February,2025,Telangana,Khammam,507183,2,8
2/9/2025,Sunday,February,2025,Telangana,Khammam,507201,0,8
2/9/2025,Sunday,February,2025,Telangana,Khammam,507302,1,6
2/9/2025,Sunday,February,2025,Telangana,Khammam,507303,10,30
2/9/2025,Sunday,February,2025,Telangana,Khammam,507305,3,13
2/9/2025,Sunday,February,2025,Telangana,Khammam,507316,0,4
2/9/2025,Sunday,February,2025,Telangana,Komaram Bheem,504311,0,9
2/9/2025,Sunday,February,2025,Telangana,Mahabubabad,506134,1,13
2/9/2025,Sunday,February,2025,Telangana,Mahabubabad,506163,2,33
2/9/2025,Sunday,February,2025,Telangana,Mahabubabad,506315,1,14
2/9/2025,Sunday,February,2025,Telangana,Mahabubabad,506381,6,61
2/9/2025,Sunday,February,2025,Telangana,Mahabubabad,507211,1,31
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509127,4,8
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509152,0,5
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509207,4,8
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509210,0,69
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509217,0,1
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509219,2,10
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509311,0,8
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509320,0,7
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509324,3,6
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509325,1,0
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509336,5,6
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509337,0,11
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509338,2,11
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509380,1,13
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509407,1,6
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509410,3,1
2/9/2025,Sunday,February,2025,Telangana,Mahabubnagar,509411,3,4
2/9/2025,Sunday,February,2025,Telangana,Mancherial,504215,2,34
2/9/2025,Sunday,February,2025,Telangana,Mancherial,504251,1,18
2/9/2025,Sunday,February,2025,Telangana,Mancherial,504273,1,12
2/9/2025,Sunday,February,2025,Telangana,Medak,502109,3,17
2/9/2025,Sunday,February,2025,Telangana,Medak,502114,0,4
2/9/2025,Sunday,February,2025,Telangana,Medak,502247,1,10
2/9/2025,Sunday,February,2025,Telangana,Medak,502256,0,5
2/9/2025,Sunday,February,2025,Telangana,Medak,502257,0,5
2/9/2025,Sunday,February,2025,Telangana,Medak,502269,0,37
2/9/2025,Sunday,February,2025,Telangana,Medak,502270,2,21
2/9/2025,Sunday,February,2025,Telangana,Medak,502281,0,3
2/9/2025,Sunday,February,2025,Telangana,Medak,502285,2,1
2/9/2025,Sunday,February,2025,Telangana,Medak,502290,5,43
2/9/2025,Sunday,February,2025,Telangana,Medak,502293,1,8
2/9/2025,Sunday,February,2025,Telangana,Medak,502296,1,13
2/9/2025,Sunday,February,2025,Telangana,Medak,502313,2,21
2/9/2025,Sunday,February,2025,Telangana,Medak,502319,0,2
2/9/2025,Sunday,February,2025,Telangana,Medak,502381,1,12
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500010,6,48
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500016,0,1
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500040,1,8
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500056,2,10
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500067,2,11
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500087,4,27
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500090,3,58
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500043,0,2
2/9/2025,Sunday,February,2025,Telangana,Medchal-malkajgiri,500083,0,0
2/9/2025,Sunday,February,2025,Telangana,Mulugu,507133,0,6
2/9/2025,Sunday,February,2025,Telangana,Nagarkurnool,509105,4,21
2/9/2025,Sunday,February,2025,Telangana,Nagarkurnool,509201,2,10
2/9/2025,Sunday,February,2025,Telangana,Nagarkurnool,509209,1,16
2/9/2025,Sunday,February,2025,Telangana,Nagarkurnool,509412,0,11
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508001,5,66
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508004,0,17
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508101,2,4
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508126,2,1
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508202,3,13
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508203,1,2
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508205,0,13
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508211,3,54
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508221,0,3
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508223,1,2
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508238,0,10
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508279,0,2
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508373,0,28
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508374,0,35
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508376,0,5
2/9/2025,Sunday,February,2025,Telangana,Nalgonda,508377,0,9
2/9/2025,Sunday,February,2025,Telangana,Narayanpet,509407,1,24
2/9/2025,Sunday,February,2025,Telangana,Nirmal,504104,1,8
2/9/2025,Sunday,February,2025,Telangana,Nirmal,504109,5,33
2/9/2025,Sunday,February,2025,Telangana,Nirmal,504110,0,11
